# BBI 6-31+G** 6D
# EFP2                                                        OEP                         DDS
# EXC              R1             R2             EXR          S1             S2           EXR          COU    IND   FQM
# 1                2              3              4            5              6            7            8      9     10
   -11.12585203    23.21588394   -4.20556577     7.88446615   24.06129477   -2.74693162    9.20912130  -10.69  -3.48  -4.96
   -10.04001751    20.34482195   -3.88042725     6.42437719   20.96162407   -2.44925156    7.23179357   -3.47  -1.53   2.22
   -13.61405693    28.28850074   -5.21907385     9.45536996   29.10452826   -4.62301594   11.02233922  -11.85  -4.09  -4.92
    -7.09423417    14.29182070   -2.49048872     4.70709781   14.96006152   -1.61843570    5.66157977   -8.02  -2.31  -4.67
    -1.01794461     1.62520002   -0.20815002     0.39910539    1.68736537   -0.11894668    0.59014698    5.00  -0.56   5.03
    -4.91591417     9.66870545   -1.64160144     3.11118984   10.18990678   -1.08923673    3.75114673   -6.58  -1.67  -4.51
    -4.42527547     8.60086500   -1.52700453     2.64858500    9.06117715   -1.17912663    3.34490901   -7.29  -1.71  -5.66
   -22.16668386    48.53352793   -8.95768654    17.40915753   49.34839467   -7.73943612   18.86700393  -14.76  -6.21  -2.11
   -10.26885754    20.85452430   -3.92103531     6.66463145   21.46480152   -3.29481677    7.41664842   -7.19  -2.18  -1.96
    -9.63119823    20.14055048   -3.37028940     7.13906285   20.74208683   -1.99882676    7.79662443   -8.89  -2.74  -3.84
    -6.46505978    12.67443480   -2.29322643     3.91614859   13.29729225   -1.83827113    4.97360064   -8.41  -2.23  -5.67
   -11.23108326    23.08849031   -4.43164869     7.42575836   23.66264611   -4.55737895    8.11608784   -7.98  -2.34  -2.21
    -7.86286768    15.83778007   -2.91244598     5.06246640   16.57356819   -1.96856772    6.32555278   -8.96  -2.61  -5.26
    -7.95836731    16.02927501   -3.06438685     5.00652085   16.39017103   -2.00502051    5.55229222   -1.35  -1.12   3.07
   -10.31437435    20.88983511   -3.85415531     6.72130544   21.47446221   -3.44483577    7.47381315   -8.29  -2.32  -3.14
    -4.85222076     8.97151755   -1.34938046     2.76991634    9.04240202   -0.72507345    3.18671191   -1.22  -0.91   1.04
    -2.81618790     4.94565297   -0.83221347     1.29725160    5.19787307   -0.54579417    1.94871811   -3.13  -0.86  -2.05
   -10.73214604    22.03089027   -4.09097496     7.20776927   22.86423409   -2.39121496    8.81751597  -10.37  -3.27  -4.83
    -7.80279603    15.75585522   -3.04062742     4.91243177   16.08489729   -1.93022868    5.41932453   -0.91  -1.08   3.41
    -8.51437933    15.22674373   -2.20892958     4.50343482   15.94014507   -1.11054916    5.69886461   -1.67  -1.55   2.46
   -17.36785292    37.02757888   -6.70008323    12.95964273   37.95607278   -5.08453435   13.78974765  -10.65  -4.07  -0.93
    -9.16663033    18.38293245   -3.46040261     5.75589952   18.91601054   -2.12564169    6.51761656   -1.54  -1.30   3.67
   -17.06275645    35.03182399   -6.59141985    11.37764768   36.07778681   -5.92380034   13.57154810  -13.05  -4.58  -4.07
   -10.41348396    21.92194277   -3.83568387     7.67277494   22.61624976   -2.88545496    8.57441428  -10.11  -3.32  -4.86
    -9.13669677    18.20764988   -3.33242016     5.73853295   18.90263146   -2.55103039    7.16647252   -9.84  -2.79  -5.47
   -15.23075289    32.02850980   -5.78622074    11.01153618   32.86876782   -4.11165058   11.76500439   -9.85  -3.56  -1.65
    -7.99670521    16.04947774   -3.05225647     5.00051607   16.42404812   -2.17953080    5.59793072   -1.45  -1.14   2.99
    -6.59798978    13.19109199   -2.28954753     4.30355467   13.87147518   -1.72545851    5.13900034   -7.72  -2.18  -4.76
   -11.39667220    24.30577648   -4.20640777     8.70269651   25.00894834   -3.29350381    9.48808710  -10.69  -3.63  -4.84
   -10.24693189    20.45013876   -3.79389501     6.40931186   21.11623968   -3.47589739    7.95099869  -10.56  -3.19  -5.81
   -12.73961486    26.75565177   -4.83935085     9.17668606   27.54879687   -3.88642202   10.50096796  -11.75  -3.93  -5.19
   -12.58249031    26.13289930   -4.87933515     8.67107384   26.95014115   -3.61285722    9.50360793   -7.55  -2.68  -0.74
    -4.69236518     9.22761716   -1.55732882     2.97792317    9.69878570   -1.19472808    3.55573707   -6.78  -1.68  -4.92
    -8.32514362    17.13407315   -3.04271853     5.76621100   17.80504643   -2.24555077    6.73230639   -9.41  -2.84  -5.52
    -5.42662834    10.73286325   -1.90812516     3.39810976   11.29174585   -1.41077186    4.18100814   -7.83  -1.98  -5.63
   -11.48447866    23.87830446   -4.38496192     8.00886388   24.69291067   -2.98650714    9.50116535  -10.99  -3.49  -4.98
    -8.99340201    18.17941849   -3.42453172     5.76148476   18.64953151   -2.36580564    6.39040233   -2.09  -1.32   2.96
    -8.11991715    16.31094672   -3.13758663     5.05344294   16.73491286   -2.11217073    5.74468609   -2.12  -1.22   2.39
   -14.57343986    30.58655152   -5.70480986    10.30830180   31.49938228   -4.81717466   11.91142774  -12.59  -4.35  -5.04
   -11.84052002    23.95060309   -4.67285843     7.43722464   24.68464845   -4.69515814    8.78191108   -8.96  -2.80  -2.99
    -9.52019177    19.17983793   -3.54363552     6.11601064   19.71676269   -2.38466489    6.80452423   -1.94  -1.38   3.47
    -3.15561462     6.03280568   -1.02369209     1.85349897    6.38450930   -0.72763117    2.32262981   -5.79  -1.26  -4.73
   -16.22757361    33.77872826   -6.60739359    10.94376106   34.78987352   -5.59866116   13.27735701  -12.11  -4.48  -3.32
    -9.03613191    18.10809140   -3.41570502     5.65625448   18.63885547   -2.10452523    6.42515709   -1.27  -1.25   3.89
   -10.64768854    22.01163890   -3.88719264     7.47675772   22.76788577   -2.97887753    8.65236493  -10.11  -3.28  -4.74
    -6.87514552    13.94002637   -2.43621197     4.62866888   14.56572356   -1.73094595    5.44745799   -8.37  -2.37  -5.30
   -13.25275243    28.80587238   -5.04351158    10.50960838   29.51953273   -3.71645461   11.23555856  -11.53  -4.10  -4.39
   -13.16300411    27.76139140   -4.98143466     9.61695263   28.39411502   -4.09874807   10.79391575  -11.23  -4.00  -4.45
    -8.42178900    17.36054174   -3.08968070     5.84907205   18.03678697   -2.21174174    6.82271784   -9.50  -2.85  -5.53
    -5.75780089    11.41735359   -2.06851883     3.59103386   12.00150533   -1.59336712    4.53881306   -8.46  -2.19  -6.11
   -13.04849366    27.79334807   -5.09256917     9.65228524   28.62700290   -3.47193386   11.01425632  -11.50  -4.06  -4.55
   -10.67766857    22.41918749   -3.95322648     7.78829245   23.14997321   -2.96714036    8.78092964  -10.06  -3.32  -4.60
   -12.97180532    26.24892806   -4.96668683     8.31043591   27.19123002   -4.55214646   10.22036874  -11.76  -3.74  -5.28
    -1.77711915     2.77669405   -0.37438031     0.62519459    2.92380724   -0.24447566    1.07100672    4.14  -0.67   4.54
   -10.15943001    20.07900857   -3.81060940     6.10896916   20.97556849   -3.72780193    7.74874191  -10.31  -3.05  -5.62
   -18.37192489    39.84827660   -7.59236726    13.88398446   40.80524244   -5.81085715   15.79408709  -13.90  -5.36  -3.48
    -4.58872623     8.88025564   -1.60818282     2.68334658    9.36636134   -1.08895552    3.52561513   -7.78  -1.83  -6.09
    -1.96299407     3.52088889   -0.52928893     1.02860589    3.66402897   -0.24412430    1.32037110   -0.69  -0.60   0.01
   -11.94959273    24.09108988   -4.47593854     7.66555861   24.81041515   -3.55390777    8.79784907   -7.75  -2.33  -1.29
    -8.01475380    15.86679988   -2.85493657     4.99710951   16.62116217   -2.01487091    6.31002851   -8.40  -2.46  -4.55
    -8.06692185    16.32903677   -3.13823455     5.12388038   16.65546540   -2.24141568    5.61446763   -1.18  -1.11   3.32
    -8.69050777    17.78688010   -3.43755018     5.65882215   18.11533501   -2.46565150    6.11656323   -1.50  -1.22   3.38
    -3.58735167     6.72315253   -1.15793455     1.97786631    7.15256169   -0.77505492    2.66519617   -5.64  -1.31  -4.28
   -11.47637682    24.45742755   -4.34314540     8.63790533   25.17489110   -3.31024080    9.59804668  -10.87  -3.70  -4.98
